date,Housing_total_sales_NO_SI,Gray_cement_dispatch_contractor,RADAR_Tools,Housing_total_launch_NO_SI,Housing_total_sales,Gray_cement_dispatch_other,RADAR_Plumbinglag_3,Housing_total_launch_NO_SIlag_4,Seasonal,Offshore_microcredit_loans,Quantity
1/31/2012,6459,165538.6315,83461511651,5645,11482,49951.0865,23069702099,7133,1.432420999,0.013476,0.14563946
2/29/2012,6466,160978.422,84188719422,5500,11518,47108.52,22798114299,8825,1.434761854,0,0.275624516
3/31/2012,6745,155050.001,91196003220,7566,11899,42481.4575,30707552272,5904,-0.277287549,0.199883,-0.14761185
4/30/2012,6981,188140.2545,96432848661,6595,12714,49115.237,39373307492,6322,-1.696388761,0.516213,0.049204722
5/31/2012,7246,184676.1765,92691837968,6113,13033,49607.5115,36887367325,5645,-0.906402148,0.903876,-0.678227175
6/30/2012,6991,171736.136,85155977259,6683,12697,47259.1645,33452038919,5500,-1.058732981,0.906352,-0.631445114
7/31/2012,7764,200253.2185,92560240017,6017,13479,54016.464,25442151330,7566,0.197460075,0.796698,0.170757346
8/31/2012,6904,180992.145,75337096839,5967,12964,45372.515,28304571636,6595,1.092847413,0.768786,-0.435166782
9/30/2012,6908,207324.5565,84802418590,7722,13112,53574.904,29411270101,6113,-0.357838563,0.755873,0.671724596
10/31/2012,6479,220805.127,88967950512,6226,13980,58948.538,36899988028,6683,0.378157442,0,0.111102368
11/30/2012,5975,204987.8735,87567185529,7215,12040,57955.4815,30731971432,6017,0.462238666,0,0.543488821
12/31/2012,5780,175925.117,95330668666,6892,10344,48007.6675,34323231561,5967,-1.01981232,0,-0.596459488
1/31/2013,7531,179914.0165,65260409002,7309,13567,50535.585,35747128001,7722,1.432420999,0,1.075943135
2/28/2013,6775,198940.9475,73873595565,6089,17253,55606.8425,32830718693,6226,1.434761854,0,1.126492879
3/31/2013,6375,199387.4865,79694605736,7730,13314,55441.943,36707390362,7215,-0.277287549,0,0.815928169
4/30/2013,6604,186137.665,92653603978,6208,14772,49913.024,29118403123,6892,-1.696388761,0,-0.264499723
5/31/2013,6287,200740.555,92468759545,5365,13123,57508.4865,29730935214,7309,-0.906402148,0,-0.179682007
6/30/2013,5902,174558.3165,84192790505,7342,13827,55156.982,28089493129,6089,-1.058732981,0,-0.578338728
7/31/2013,6390,200073.1885,1.03E+11,6093,12856,59340.785,24252581704,7730,0.197460075,0,0.077058663
8/31/2013,6832,189759.7745,85142933994,6253,13657,53570.471,25737584531,6208,1.092847413,0,0.39345431
9/30/2013,6914,202765.825,91912132670,6738,15937,55578.9425,27662712238,5365,-0.357838563,0,0.399419808
10/31/2013,8003,204789.138,90447369145,7565,15799,59552.8685,43446473425,7342,0.378157442,0,0.480290428
11/30/2013,6567,186506.6175,77480472711,7324,13823,56958.002,39311127095,6093,0.462238666,0,0.166855103
12/31/2013,5464,167779.884,85913416921,5968,12950,49383.315,36846548707,6253,-1.01981232,0,-0.757931608
1/31/2014,7328,177343.324,59358123701,7449,13683,51446.2085,36797340529,6738,1.432420999,0,1.420013309
2/28/2014,7459,202069.1875,67666173508,7246,16038,57105.401,37437186580,7565,1.434761854,0,1.382291628
3/31/2014,7558,215056.6255,78337377056,8233,16335,55613.4605,48218422671,7324,-0.277287549,0,0.449521018
4/30/2014,7561,199027.018,86881690311,6712,15350,55810.8505,33911722257,5968,-1.696388761,0,0.597402568
5/31/2014,7174,218232.0335,86431617449,7314,16146,61001.124,30778273739,7449,-0.906402148,0,0.551652134
6/30/2014,6477,219660.2285,77001315392,6202,15648,56656.8285,33509469071,7246,-1.058732981,0,0.517742989
7/31/2014,7639,237841.5825,94213288589,6461,15574,66232.3195,34889000990,8233,0.197460075,0,1.115279537
8/31/2014,8124,230431.53,79442685685,7956,17069,62168.235,37434927302,6712,1.092847413,0,0.989107017
9/30/2014,7867,255345.628,86223986334,8230,16465,64860.521,36479951365,7314,-0.357838563,0,1.103169128
10/31/2014,7141,260223.124,82988532422,8793,14857,66801.078,49463302373,6202,0.378157442,0,0.922544621
11/30/2014,7147,240135.2995,78261230412,8415,14622,59740.9115,37775380906,6461,0.462238666,0,0.885047207
12/31/2014,6890,214659.5475,81460130169,9013,13695,56754.721,37566690762,7956,-1.01981232,0,0.689531382
1/31/2015,8130,196856.6715,53318509505,7566,15141,49109.517,30044396396,8230,1.432420999,0,1.945470498
2/28/2015,8022,232723.0495,60130539469,10034,15936,53685.0335,29503963902,8793,1.434761854,0,1.724791934
3/31/2015,8070,215694.1745,74071636235,9060,16552,48214.2075,38863341997,8415,-0.277287549,0.020054,1.186820657
4/30/2015,8311,221124.3905,90710573980,7730,16462,47430.5685,38574826601,9013,-1.696388761,0.018818,1.289310599
5/31/2015,6885,211098.532,93347761683,7185,14889,44382.125,42595941855,7566,-0.906402148,0.020257,0.669661341
6/30/2015,7638,204005.692,82439177075,6798,15338,42005.9635,38311097204,10034,-1.058732981,0.019235,-0.009687748
7/31/2015,7474,177465.192,92844320087,9055,17954,32999.87,36753370664,9060,0.197460075,0.02034,0.232251311
8/31/2015,7077,200549.4165,84501654051,9555,15483,49212.602,41531858205,6798,0.378157442,0.177585,0.728135195
9/30/2015,6534,201759.136,77857804763,5805,15514,50744.064,38247563854,9055,0.462238666,0.141726,0.595189772
